skill_title,skill_description,skill_type,is_emerging,is_casl
Investment Financial Modelling,Develop financial models and valuation models to arrive at a valuation conclusion,tsc,False,False
Involuntary Exit Management,"Establish and implement frameworks, guidelines, policies and processes to manage involuntary exits",tsc,False,False
Jigs and Fixtures Design,Facilitate implementation of product and production operations by designing jigs and fixtures,tsc,False,False
Job Analysis and Evaluation,"Define and evaluate job requirements and expectations against specific metrics, structures or systems",tsc,False,False
Joining and Welding,"Manage welding applications to join metallic parts and components using appropriate tools, equipment, and methods. Perform welding operations following technical manuals and procedures as well as fabricate components by applying heat, pressure, and friction to join structures",tsc,False,False
Kitchen Production Scheduling,Manage production of in-flight meals based on airline and flight requirements,tsc,False,False
Knowledge Management,"Develop and deploy systematic management of information within databases, documents, policies, and procedures, and promote knowledge as a strategic organisational asset and key enabler of organisational learning. Drive knowledge management by establishing, maintaining, and improving processes and systems",tsc,False,True
Knowledge Management System Implementation,"Develop and adopt knowledge management systems to ensure integrated support, analysis, and development of all supporting systems, guaranteeing high and continuing efficiency benefits to the organisation",tsc,False,False
LED Technology and Processing,"Manage the installation and synchronisation, and optimisation of LED technology",tsc,False,False
LED Volume Setup and Configuration,"Expertise in setting up, installing, and configuring LED volumes for virtual production, including knowledge of hardware components, wiring, and system integration",tsc,False,False
LED Volume Workflow Design,"Design, implement and manage the workflow for operating LED volumes in virtual production",tsc,False,False
Laboratory Data Analysis,Analyse laboratory data,tsc,False,False
Laboratory Data Reporting and Analysis Management,"Manage laboratory data for reporting and analysis purposes, ranging from collation, record, access and retrieval from the laboratory information management systems (LIMS)",tsc,False,False
Laboratory Equipment Maintenance and Calibration Management,"Maintain laboratory equipment to ensure maximum availability of equipment and accuracy of measurements based on the organisation's standards and vendors' operating, maintenance and calibration instructions",tsc,False,False
Laboratory Management,"Implement good laboratory practice procedures to meet performance, quality, and health and safety standards",tsc,False,False
Laboratory Operations Management,"Manage laboratory operational activities including all analyses, work planning, scheduling, testing and validation required to meet internal and external customer requirements",tsc,False,False
Labour Relations Management,"Manage labour relations to support, enhance and strengthen the relationships amongst trade unions, work councils and employee forums",tsc,False,True
Landscape Drainage Management,Manage drainage systems as part of landscape implementation and maintenance,tsc,False,False
Landscape Irrigation Management,Perform and manage efficient watering and/or irrigation activities for the growth of plants,tsc,False,True
"Landscape Tools, Equipment and Machinery Management","Manage the safe and effective use of tools, equipment and machinery in landscape operations",tsc,False,True
Laser and Optics Application,Automate manufacturing processes using laser and optics by introducing amplified electromagnetism and optical technologies for steelwork and alignment processes,tsc,True,False
Lashing,Carry out lashing operations with proper adherence to Workplace Safety and Health (WSH) requirements and coordination of lashing teams,tsc,False,False
Launch Planning and Management,"Execute launching procedures for ships, rigs and/or conversions by employing gravitational, mechanical, floating, airbag and other launching techniques",tsc,False,True
Laundry Operations Management,Manage the provision of laundry services to ensure timely delivery of processed laundry to external and internal customers,tsc,False,False
Layout Sequencing,Develop and optimise layout sequences,tsc,False,False
Leadership Development,Build a culture of strong leadership and drive initiatives to facilitate the development of leadership capabilities in the organisation,tsc,False,False
Lean Manufacturing,"Apply lean concepts, tools, and techniques to improve workplace and manufacturing efficiency",tsc,False,False
Learner Assessments,Evaluate learners' knowledge to develop self-regulated learners,tsc,False,False
Learner Profile Analysis,Assess learner demographics to formulate learning design and delivery approaches,tsc,False,False
Learning Agility,Deploy different learning approaches which enable continuous learning across different contexts to drive self-development and the achievement of long-term career goals,ccs,False,False
Learning Analytics,"Analyse data to glean insights and drive decision making to enhance learning delivery, in accordance with governance and management policies for the handling of data at various stages of its lifecycle",tsc,False,False
Learning Environment Design,Design learning environment to meet children's specific developmental and learning needs,tsc,False,False
Learning Environment Design for Early Childhood,Design learning environment to meet children's specific developmental and learning needs,tsc,False,False
Learning Experience Delivery,"Drive learning delivery activities to facilitate learning experiences, knowledge transfer and skills application",tsc,True,False
Learning Experience Evaluation,Assess overall learning experiences to measure effectiveness and drive excellence across all learning activities,tsc,False,False
Learning Experience Evaluation and Enhancement,Evaluate student experience and address learning challenges to measure effectiveness and drive excellence across all learning activities in alignment with quality assurance policies and systems,tsc,False,False
Learning Framework Development,"Design and maintain a framework for identifying and meeting the learning needs of students, staff, professionals and the public",tsc,False,False
Learning Mode Design,"Assess, design and integrate suitable learning modes to drive desired learning experiences",tsc,True,False
Learning Needs Analysis,"Identify learning needs in the workplace, department, or division using the Learning Needs Analysis Framework. Analyse and assess capability and performance gaps within the organisation to determine learning needs",tsc,False,True
Learning Programme Delivery,"Deliver learning experiences according to the profile and learning needs of the students, staff and/or professionals",tsc,False,False
Learning Programme Design,"Plan and design learning experiences that fulfill required skills and competency outcomes while engaging students, staff, professionals, and the public intellectually and academically",tsc,False,False
Learning Programme Evaluation,Evaluate the effectiveness of learning experiences and modify the teaching approaches and materials accordingly,tsc,False,False
Learning Programme Management,Manage the implementation and development of programmes to facilitate achievement of organisation's objectives and growth,tsc,False,False
Learning Solution Design,Design and evaluate learning solutions which drive performance enhancement,tsc,True,False
Learning Space Design,Design learning environments aligned with desired learning experiences and outcomes,tsc,False,False
Learning Strategy and Framework Development,"Design learning strategy and philosophy to define best practices for how arts students will develop the desired skills, qualities, experience, and behaviours necessary to achieve their learning objectives through the curriculum",tsc,False,False
Learning Support Session Planning and Implementation,Plan and implement Learning Support sessions to meet specific developmental and learning needs of children,tsc,False,False
Learning Technology Design,Design learning technologies to enhance learning experience and delivery,tsc,True,False
Learning and Development,"Develop and manage learning and development activities to enhance employees' potential and capabilities, support continuous learning, and meet the organisation's capability development needs by implementing frameworks and providing professional development support",tsc,False,True
Learning and Development Framework Management,Develop and apply a learning and development framework to manage competency and capability development for the organisation,tsc,False,False
Learning and Development Programme Management,Establish and implement learning and development programmes and channels to facilitate employees' growth and capability building,tsc,False,True
Learning and Development Strategy,Drive a learning and development culture by developing strategies to enhance workforce capability and create a learning strategy and philosophy that boosts business performance,tsc,False,False
Legal Advisory for Carbon Products and Activities,"Provide legal advisory services for carbon products and activities, guiding organisations on how to navigate the complex regulatory landscapes of carbon markets. Ensure compliance with relevant laws, conduct due diligence on carbon products and mitigate risks associated with the contractual elements on carbon products and activities.",tsc,False,False
Legal Advocacy,Represent and defend the rights and interests of a client in dispute resolution,tsc,False,False
Legal Business Acumen,Understand the business environment and the organisation's commercial needs to provide appropriate legal advice,tsc,False,False
Legal Drafting and Writing,"Produce legal documents through the identification, application and presentation of relevant facts and laws to communicate specific messages in an organised and logical format",tsc,False,False
Legal Interviewing,Conduct an interview to obtain information about a matter to identify facts and legal issues,tsc,False,False
Legal Matter Management,"Manage, coordinate and oversee various aspects of a legal matter",tsc,False,False
Legal Research and Analysis,Find relevant legal information and apply legal reasoning to issues arising from the facts of a matter to determine a legal position or solution,tsc,False,False
Legal Writing,Present and convey legal advice or opinion in writing to express a legal position,tsc,False,True
Legal and Compliance Management,Develop and implement compliance programs to manage the organisation's adherence to relevant legislative and regulatory requirements and standards,tsc,False,False
Lesson Delivery and Classroom Management,"Facilitate classroom instruction to deliver curriculum with positive learning outcomes, observe student engagement, provide environmental comfort, and deliver learning materials, and activity. Optimize learning experience through technologies",tsc,False,False
Lesson Planning,"Prepare class materials, facilitation approach, and relevant content and activities from the curriculum, including digital aids, in advance of lesson to ensure effective delivery and instruction",tsc,False,False
Level Design,"Design worlds, levels, missions and quests within the game universe to deliver an engaging user experience",tsc,False,False
Life Cycle Costing and Analysis,"Analyse, estimate and manage costs for cost efficiency and value maximisation throughout building life cycle",tsc,False,False
Lift Planning and Management,Implement rigging procedures to ensure safe operation of lifting gears by employing prescribed slinging techniques depending upon load and external conditions,tsc,False,False
Lift Systems Maintenance and Management,Implement preventive and corrective maintenance of lift systems,tsc,False,False
Lifts and Escalators Systems Design,Design energy-efficient lifts and escalators,tsc,False,False
Lighting Conceptualisation and Design,Envisage the lighting concepts and designs required to achieve the creative vision of productions,tsc,False,False
Lighting Conceptualisation and Design for Production,Envisage the lighting concepts and designs required to achieve the creative vision of productions,tsc,False,False
Lighting Design Optimisation,"Optimise lighting designs to create better ambiences while achieving energy efficiency, sustainability and maintainability results",tsc,False,False
Lighting Operations,Manage the set-up and operations of lighting equipment during productions,tsc,False,True
Lighting Operations in Digital Lighting Control,Manage the set-up and operations of DMX lighting equipment during productions,tsc,False,False
Lightning Protection Systems Design,Design lightning protection systems incorporating safety features and standards,tsc,False,False
Linen and Uniform Room Operations Management,Manage linen and uniform room operations to ensure timely delivery of clean uniform and linen supplies to staff and relevant departments to meet daily operational requirements,tsc,False,False
Liquefied Natural Gas Breakbulk Services Management,Manage breakbulk services for optimal delivery,tsc,False,False
Litigation Support,Provide evidence and testimonies to be used in litigation,tsc,False,False
Livestock Cargo Administration,"Arrange transportation of livestock cargo including documentation, cargo inspection and compliance with regulatory requirements",tsc,False,False
Load Control Documentation,Complete load control documents to facilitate aircraft loading,tsc,False,False
Load Profile and Capacity Certificate Management,Manage load profiles and capacity certificates,tsc,False,False
Local Exhaust Ventilation System Management,"Apply a design and qualitative approach to assess the effectiveness, performance and compliance of the local exhaust ventilation systems",tsc,False,False
Location Scouting and Management,Identify and evaluate various locations to meet production requirements for shooting,tsc,False,False
Locomotive Maintenance,Implement preventive and corrective maintenance activities of locomotive,tsc,False,False
Logistics Operations Research and Planning,"Adopt advanced quantitative methods to analyse, design, plan and control logistics systems in order to support business requirements",tsc,False,False
Logistics Process Quality Management,Apply processes to align all components of business to quality requirements of the organisation in order to maximise quality and reduction of waste,tsc,False,False
Logistics Solution Design Thinking,"Construct solutions based upon logic, imagination, intuition and systemic reasoning to explore possibilities of what can be and create desired outcomes that benefit the organisation and customers when designing logistics solution",tsc,False,False
Logistics Solution Product/Project Management,"Manage activities to meet project requirements and translate to plans that deliver on time, on-budget learning and integration that organisations need",tsc,False,False
Logistics Solutions Marketing,"Plan, implement and control business activities to conduct buying and selling of product offerings or services between buyers and sellers of logistics services",tsc,False,False
Logistics Solutions Sales,"Identify customer needs, evaluate these needs and identify probable solutions so as to sell logistics solutions and services to solve the needs of customers",tsc,False,False
Lookdev,"Define and develop the final look of characters, environments, and effects to meet the creative vision",tsc,False,False
Loss and Risk Prevention Management,"Manage loss and risk policies and procedures to prevent loss and risk incidents in daily business operations to safeguard the property, safety and well-being of guests and/or customers",tsc,False,True
Low Voltage Power Systems Maintenance,Implement preventive and corrective maintenance activities of low voltage power systems,tsc,False,False
Low Voltage Switchboard Maintenance,Implement preventive and corrective maintenance activities of low voltage switchboard,tsc,False,False
Low-Temperature Gasification and Pyrolysis for E-waste Recycling,"Utilise low-temperature combined gasification and pyrolysis technology to achieve sustainable electronic-waste (e-waste) recycling. Optimise the breakdown of electronic materials at lower temperatures to enhance resource recovery while minimising waste and environmental impact. Design and implement optimised recycling processes, perform material characterisation, and ensure regulatory compliance to enhance the quality and scalability of material recovery.",tsc,False,False
Machining,"Manage and perform machining activities, maintain products and components, incorporating computer numerical control and computer-aided manufacturing processes, and fabricate components through controlled removal of materials from given blocks or pieces",tsc,False,False
Macroeconomic Analysis,Evaluate impact of external factors on the organisation,tsc,False,False
Maintenance Coordination,"Develop and execute organisational maintenance strategies and systems for equipment, plant, and programmes",tsc,False,True
Maintenance Integrity and Reliability Framework Development and Implementation,Develop and implement maintenance integrity and reliability frameworks to ensure availability and reliability of process plants and equipment,tsc,False,False
Maintenance Organisation Structure Management,"Form and upkeep a maintenance organisation structure for aircraft, engine and component maintenance in accordance with legislative requirements",tsc,False,False
Maintenance Planning and Scheduling,Develop and execute maintenance plans and schedules to optimise plant availability and reliability,tsc,False,False
Maintenance Scheduling,Plan and manage maintenance schedules following organisational standards and Original Equipment Manufacturer recommendations,tsc,False,True
Maintenance Strategy Development,Develop a corrective and preventive maintenance strategy,tsc,False,False
Maintenance Strategy Management,Formulate and implement organisational maintenance strategies to enhance performance and operational reliability,tsc,False,False
Maintenance and Repair,Manage and oversee shipboard maintenance and repairs,tsc,False,False
Major Hazard Installation Safety Case Management,"Develop Major Hazard Installation (MHI) Safety Cases to mitigate risks arising from major accident hazards, and reduce risks to As Low As Reasonably Practicable (ALARP)",tsc,False,False
Make-up Design (and Special Effects),Create make-up designs for performers appearing in a production and instruct make-up artists in the proper application of make-up to keep the look of each performer authentic in line with production requirements,tsc,False,False
Makeup Application,"Apply or remove makeup products, with or without the use of devices to achieved desired looks, while maintaining facial skin condition",tsc,False,False
Makeup Image Design,Develop and conceptualise new makeup designs according to customer specifications and production themes,tsc,False,False
Malay Dry-Heat Dish Preparation and Cooking,Prepare and present standard and complex Malay dry-heat dishes,tsc,False,False
Malay Moist-Heat Dish Preparation and Cooking,Prepare and present standard and complex Malay moist-heat dishes,tsc,False,False
Manage Work at Height,"Plan, supervise, assess and manage work at height practices in accordance with workplace safety and health regulations",tsc,False,False
Manage Workplace Safety and Health in Construction Sites,Manage workplace safety and health in construction sites through worksite safety and health management systems to ensure safety and health measures are put in place in construction activities in accordance with prevailing workplace safety and health regulations and organisational procedures,tsc,False,False
Manage Workplace Safety and Health in Shipbuilding and Ship Repair,Manage workplace safety and health in shipbuilding and ship repair and coordinate construction and/or repair of the ship activities safely in accordance with prevailing workplace safety and health regulations and organisational procedures,tsc,False,False
Management Decision Making,Make financial decisions based on management reports,tsc,False,False
Manpower Forecasting,Estimate and fulfil manpower requirements to achieve business goals and targets,tsc,False,False
Manpower Planning,"Develop and implement manpower plans to support both strategic and operational needs, and estimate and fulfil manpower requirements to achieve business goals and targets",tsc,True,False
Manpower Planning and Deployment,Develop and implement manpower plans to support and meet the organisation's strategic and operational needs,tsc,False,True
Manual and Digital Drawings Production,"Develop drawing requirements, evaluate drawing conventions and specifications, as well as identify production materials and methods",tsc,False,False
Manufacturing Equipment Operation and Control,Operate production equipment ensuring optimal conditions for biopharmaceuticals manufacturing production,tsc,False,False
Manufacturing Operation Management,Manage the manufacturing operations' Standard Operating Procedures (SOPs) to ensure consistent results of each manufacturing process as well as define and standardise the exact steps to perform specific tasks,tsc,False,False
Manufacturing Process Design,Analyse the design of the product to identify potential manufacturing risks and problems for the reduction of manufacturing costs,tsc,False,False
Manufacturing Process Management,"Conduct process engineering to ensure manufacturing stability, troubleshoot deviations, and propose performance improvement strategies",tsc,False,False
Manufacturing Production Planning and Scheduling,Develop and execute strategic manufacturing production planning and scheduling to meet production targets and cycle time indices,tsc,False,False
Manufacturing Systems Operation and Control,Operate technical systems in manufacturing,tsc,False,False
Manufacturing Technology,"Optimise manufacturing processes, utilising available and applicable technologies",tsc,False,False
Manufacturing Workflow Management,Manage manufacturing operations to ensure timely and quality delivery of production outcomes,tsc,False,True
Marine Auxiliary System Maintenance,Diagnose and rectify systems and machinery components on board ships and rigs,tsc,False,False
Marine Design Customisation,Customise engineering solutions to meet exceptional customers’ requirements beyond typical scoping of existing product portfolios and/or capabilities,tsc,False,True
Marine Engineering Calculations,Apply mathematical formulae and principles of numerical analysis to marine engineering applications,tsc,False,True
Marine Equipment Material Selection,Select appropriate materials to be used for marine equipment and components based on material property applications and industry requirements,tsc,False,False
Marine Equipment and System Maintenance,Formulate and execute corrective and/or preventative maintenance activities for marine equipment and systems used on ships and rigs,tsc,False,False
Marine Incident and Accident Investigations,"Investigate different types of marine incidents and accidents in collaboration with other relevant agencies, where necessary, to determine their causes and recommend preventive measures",tsc,False,True
Marine Insurance Claims Handling,Handle assessment and investigation of marine insurance claims to ensure efficiency and effectiveness of claims functions and reduce risk exposure,tsc,False,False
Marine Insurance Underwriting Profitability and Efficiency Management,Manage profitability and effectiveness of marine insurance underwriting function according to organisation's strategies,tsc,False,True
Marine Survey Reporting,Prepare and approve marine survey reports to set out technical findings and recommendations,tsc,False,True
Maritime Charging Infrastructure,"Configure, install, and maintain maritime charging infrastructure for electrified marine vessels. Identify suitable sites for charging stations, ensuring seamless integration into existing electrical grids and compliance with maritime and environmental regulations",tsc,False,False
Maritime Emergency Response Management,Manage emergency response plans for the range of contingencies affecting the maritime sector,tsc,False,True
Maritime Hazards Identification,Implement systematic approaches for hazard identification and risk assessment to eliminate or reduce risks effectively in maritime and shipping operations,tsc,False,True
Maritime Incident Management,"Apply a systematic and objective approach in health, safety, security, environment and quality (HSSEQ) incident and accident investigations which include responding, reporting, gathering data and information, root cause analyses, implementation and review of corrective and preventive measures, to prevent recurrence of incidents and accidents",tsc,False,True
Maritime Safety Culture Management,"Create and maintain a health, safety, security, environment and quality (HSSEQ) culture based on a common set of attitudes, behaviours, and competencies",tsc,False,False
Maritime Safety Performance Management,"Establish and monitor indicators measuring effectiveness of health, safety, security, environment and quality (HSSEQ) and work procedures in preventing incidents and safeguarding employees",tsc,False,False
Maritime Safety Policy Development,"Develop organisational health, safety, security, environment and quality (HSSEQ) policies to ensure compliance by applying knowledge of maritime and shipping-related regulations and staying abreast of regulatory changes and practices",tsc,False,False
Market Demand and Feedstock Management,"Manage feed supply for market demand and respond to feed shortfall, opportunity realisation for feed surplus and/or changes in customer demand",tsc,False,False
Market Entry Strategy Formulation,"Develop strategic plans to enter identified markets based on assessed costs, benefits, and risks",tsc,False,True
Market Evaluation,"Determine the viability of entering new markets, and develop adaptation strategies to customise products and services for the markets",tsc,False,False
Market Intelligence,Implement market intelligence systems for the systematic collection and analysis of information about the market and trends in order to build competitive advantages,tsc,False,False
Market Liquidity and Counterparty Matching,Determine price sensitivity of bid and offer quotes from market participants to negotiate and match the best available bid quotes with offer quotes between two counterparties using effective negotiation strategies in client conversations,tsc,False,False
Market Profiling,"Segment the markets, select the targeting strategies and tactics, profile the target segments and develop the positioning strategies as well as implementation activities",tsc,False,False
Market Research,"Conduct research on industry, customer, and competitor trends to shape business development strategies, establish procedures for gathering and interpreting market information, and formulate market research frameworks and plans to forecast emerging needs, identify opportunities for enhancing product suites, and support business strategies and revenue growth",tsc,True,False
Market Research and Analysis,"Develop market analysis frameworks and objectives to guide and conduct analyses of market trends, developments, competitive factors and economic changes to identify useful business insights, drive economic decisions and forecast market needs",tsc,False,False
Market Risk Management,"Identify, monitor, and manage market risks including foreign exchange, interest rates, credit spreads, and liquidity, and implement risk mitigation plans in adherence to financial market risk limits and guidelines",tsc,False,True
Market Specialisation,Apply market and industry knowledge to key service offerings as well as understand relevant laws and regulations in relevant markets to be able to customise advice to clients,tsc,False,False
Market Trend Analysis,"Conduct marketing and digital research to uncover market, customer, and competitor trends, extracting valuable business insights. Manage and execute situational analysis to identify new opportunities, evaluate marketing effectiveness, and develop strategies to optimise efforts",tsc,False,False
Marketing Campaign Management,Develop evaluation strategies for marketing campaign effectiveness and analyse data to provide recommendations for improvements in future marketing campaigns,tsc,False,False
Marketing Communications Plan Development,"Formulate, develop and implement marketing communications plans and evaluate tools and vehicles appropriate to reflect effective execution of communication strategies",tsc,False,False
Marketing Content Development,Manage the development of content for marketing collaterals,tsc,False,False
Marketing Management,Manage organisation's marketing plans,tsc,False,False
Marketing Mix Management,"Establish marketing mix frameworks which include development of products, prices, places and promotions as well as, identify levels of customer touch-points",tsc,False,False
Marketing Operations Management,Execute marketing tasks and activity operations,tsc,False,False
Marketing Strategy,"Define an organisational marketing strategy, consider critical industry trends, customer segments and market developments as well as the communication and implementation of the strategy",tsc,False,False
Marketing Strategy Development,Perform market research to determine the ideal marketing strategy and positioning of retail products,tsc,False,True
Marketing Strategy Development and Implementation,Develop sales and marketing strategies and operational plans and evaluate performance outcomes to identify improvements to enhance sales performance and achieve organisational strategic objectives,tsc,False,False
Mass Communications Management,Establish and maintain effective internal and external communication channels to ensure timely dissemination of information of stakeholders,tsc,False,False
Master Control Room Operations,"Manage playout, transmission and other broadcast processes to deliver content through linear programming over broadcast networks",tsc,False,False
Material Flow Modelling,"Analyse the inflow and outflow of material, substance or product flows across different industrial sectors or within ecosystems to achieve optimisation",tsc,False,False
Material Handling Equipment (Mhe) Handling,"Operate mechanised material handling equipment including the movement, storage, control and protection of materials, goods and products",tsc,False,False
Material Joining,"Fabricate components and construct different structures by bringing together parts of different properties, dimensions and compositions",tsc,False,False
Material Management,"Establish plans, organisation procedures and controls of flow of materials from the point of origin to the point of consumption and disposal",tsc,False,False
Material Studies and Production Processes,"Administer materials study to facilitate production, construction, engineering, and processing of materials into specific designs",tsc,False,False
Materials Inspection,Verify correctness and usability of vendor products and services by conducting specification matching and quality checks,tsc,False,False
Materials Qualification,Manage the quality of materials to ensure material specifications conform to product requirements,tsc,False,True
Mathematical Concepts Application,Apply mathematical concepts to solve engineering problems,tsc,False,False
Measurement of Building and Construction Works,Analyse proposed construction drawing plans and designs to prepare cost estimations,tsc,False,True
"Measurement, Reporting and Verification (MRV) (For Carbon Credit Projects)","Systematically collect, quantify, report and verify data related to greenhouse gas (GHG) emissions and other environmental metrics stemming from carbon credit projects. Ensure data quality and accuracy to ascertain the integrity of carbon projects and compliance with carbon standards.",tsc,False,False
Meat Storage and Fabrication,"Apply the principles of identifying, storing, and fabricating of meat and poultry for food service operations",tsc,False,False
Mechanical Engineering Management,"Manage the design, technical specification, selection, modification and troubleshooting of mechanical equipment, structures and systems so as to provide mechanical engineering discipline support to construction, operations, maintenance and project teams",tsc,False,True
Mechanical Field Maintenance Management,Perform routine and non-routine mechanical field maintenance work to ensure optimal availability and reliability of mechanical rotating and static equipment in process plants,tsc,False,False
Mechanical Maintenance Management,"Manage the design, technical specification, , overhaul, and maintenance of mechanical plants, equipment and systems, to provide mechanical engineering discipline support to production, maintenance and project teams in the plant facilities",tsc,False,True
Mechanical Rotating Equipment Engineering Management,"Manage the design, technical specification, selection, modification and troubleshooting of mechanical rotating equipment, structures and systems to provide mechanical engineering discipline support to production, maintenance and project teams",tsc,False,False
Mechanical Static Equipment Engineering Management,"Manage the design, technical specification, selection, modification and troubleshooting of mechanical static equipment, structures and systems to provide mechanical engineering discipline support to production, maintenance and project teams",tsc,False,False
Media Content Cataloguing,Develop structured systems and processes to catalogue the organisation's content,tsc,False,False
Media Data Management,"Design, implement and operate digital systems for managing the access to the organisation's content, including intellectual property and licensed content",tsc,False,True
Media Distribution Platform Management,Develop and implement strategies to manage the distribution platform and partners through which the organisation's content and services are delivered,tsc,False,True
Media File Formats Conformation,"Conform footage from original source and fine-tune details to enhance the overall quality of the images, colours and sounds",tsc,False,False
Media Platforms Management,Drive organisational policies and procedures for media use as well as develop and implement media plans in business while evaluating their effectiveness,tsc,False,False
Media Public Relations Management,"Develop public relations strategies and manage communications to achieve objectives by directing corporate reputation management, setting communications agendas, identifying opportunities and threats, prioritising issues, incorporating corporate ethics and governance into policies, and communicating strategies to stakeholders",tsc,False,False
Media Storage Record Maintenance,Record essential information identified to meet governance principles,tsc,False,False
Media Strategy Development,"Develop, execute and evaluate media strategies and plans to assess impact of media advertising across channels in relation to target customers",tsc,False,True
Medication Administration for Prehospital Cases,Prepare and administer medication for prehospital cases,tsc,False,False
Medication Dispensing,Process prescriptions and medication orders and dispense medication accurately. Resolve medication incidents including dispensing errors and near misses,tsc,False,True
Medication Management in Nursing,Perform safe handling and administration of medication,tsc,False,False
Medication Reconciliation in Pharmacy Support,Create the most accurate list possible of all medications consumed by a patient to ensure accurate and complete medication information transfer during transitions of care,tsc,False,False
Medication Safety,Comply and promote medication safety practices and manage medication errors,tsc,False,False
"Meetings, Incentives, Conferences and Exhibitions (MICE) Content and Experience Development and Delivery","Manage the content and experience for Meetings, Incentives, Conferences and Exhibitions (MICE) events, including programme and itinerary development, identification of key speakers and partners, and liaising with exhibitors regarding content curation, exhibition specifications and exhibition layouts",tsc,False,False
"Meetings, Incentives, Conferences and Exhibitions (MICE) Equipment Management and Venue Management","Manage resources for operation and maintenance of equipment required for Meetings, Incentives, Conferences and Exhibitions (MICE) events, including venue facilities and audio visual equipment",tsc,False,False
Mentoring for Youths,Provide guidance to youths to facilitate their holistic development,tsc,False,False
Merchandise Buying,"Design and implement merchandise buying plans based on market and consumer trends, merchandise ranges, stock levels, and sources of supply",tsc,False,False
Merchandise Performance Analysis,"Develop processes to analyse profit performance of merchandise, evaluate trends of profitability and identify opportunities to adjust range of merchandise",tsc,False,True
Mergers and Acquisition,Analyse Mergers and Acquisitions (M&A) strategically to identify and evaluate opportunities to increase the organisation's valuation and drive down effective tax rates,tsc,False,False
Metal Forming,Develop and optimise metal forming processes for manufacturing of quality products,tsc,False,True
Metal-Based Additive Manufacturing,Evaluate potential applications of additive manufacturing with a specialised emphasis on metallic component manufacturing,tsc,True,False
Metallic Material Characterisation,Conduct tests and take measurements to evaluate the suitability of engineering and metallic materials,tsc,False,False
Meter and Associated Equipment Maintenance Management,Manage meters and associated equipment maintenance programmes,tsc,False,False
Metrology Management,Manage metrology techniques for process performance measurement as well as develop metrology recipes for process optimisation,tsc,False,True
Metrology and Inspection in Advanced Manufacturing,Utilise metrology tools and inspection equipment to capture and analyse measurement data and trends in real-time.,tsc,False,False
Microclimate in Landscape Design,Incorporate considerations for thermal comfort and microclimate in the planning and design of urban areas,tsc,False,False
Microfabrication,"Apply techniques and processes to create and optimise miniature structures and devices for integrated circuits at the microscale, ensuring strict control over contamination and precision.",tsc,False,False
Mobile Apps Marketing,"Employ interactive mobile apps as a marketing resource for 'anytime' and 'anywhere' customer acquisition, engagement, loyalty and lead conversion",tsc,True,False
Mobile Equipment - Heavy Duty Prime Mover and Trailer Operations,Support loading and unloading of cargo at wharves and yards through the use of heavy duty prime movers and trailers,tsc,False,True
Mobile Equipment - Prime Mover Defensive Driving,Apply defensive driving rules in operating prime movers at the port,tsc,False,True
Mobile Generator Deployment,Ensure mobile generators are efficiently and effectively deployed in planned network outage or emergency scenarios,tsc,False,False
Mobility and Ambulation Assistance in Nursing,Provide mobility and ambulation assistance to patients,tsc,False,False
Monitoring and Surveillance,"Develop and conduct checks and observations to assess adherence to statutory regulations and standards, thoroughness of compliance controls and monitor for irregular activities",tsc,False,False
Motion Capture Pipeline Management,"Oversee and manage the entire motion capture pipeline, including pre-production planning, session setup, calibration, data capture, post-processing, and integration with other production elements",tsc,False,False
Motion Capture Technology,"Apply various motion capture systems, hardware, and software used in the industry, including marker-based and markerless systems, body and facial capture technologies, and data processing pipelines",tsc,False,False
Motion Graphics,Execute creation of motion graphics for content,tsc,False,False
Multi-Camera Operations for Live Shows,Manage the set-up and operations of multiple cameras for video content in live shows,tsc,False,False
Multi-camera Operations,Manage the set-up and operations of multiple cameras for films or television productions,tsc,False,False
Multi-function Vehicle Maintenance,Implement preventive and corrective maintenance activities of multi-function vehicle,tsc,False,True
Multimedia Design,"Develop, implement and integrate multiple forms of media such as sound, video and text to show an artistic expression. This includes use of linear multimedia technologies such as computer-generated digital graphics, sounds and animations",tsc,False,False
Multimedia Operations,Manage the set-up and operations of multimedia equipment during productions,tsc,False,False
Music Arrangement and Orchestration,Write or adapt new musical compositions and rearrange existing musical compositions for another medium for an orchestra or musical ensemble,tsc,False,False
Nacelle Mechanical Structures Maintenance,Maintain and repair aircraft nacelle mechanical structures using appropriate resources and conduct functional checks,tsc,False,False
Narrative Design,"Design narrative elements to develop content flow and align with story progression, creating an engaging audience experience",tsc,False,True
Narrative Design in Product Development,Develop the flow of the content through designing narrative elements within product development and at the product launch stages to create an engaging audience experience,tsc,False,True
Natural Capital Management,"Develop market research on natural capital and lead organisation's strategies and policies in response to natural capital policy and market developments, to support decision making and organisational dealings",tsc,False,False
Natural Ventilation Design,Manage the design processes for effective natural ventilation in tropical and sub-tropical climates,tsc,False,False
Naval Architecture Calculations,"Use mathematical and physics calculations to specify capacity, trim, and stability details, ensuring the seaworthiness of ships, rigs, and conversions",tsc,False,True
Navigation Watch,Conduct navigational watches to ensure ships’ safe passage,tsc,False,False
Navigation Watch for Special Limit Crew,Conduct navigational watches within the Special Limit to ensure safe passage of ships,tsc,False,False
Navigation and Position Determination,Plan voyages and perform navigation,tsc,False,False
Navigation and Position Determination for Special Limit Crew,Plan a voyage and perform navigation within the Special Limit,tsc,False,False
